group,n_test,n_positive,precision,recall,f1,roc_auc,predicted_positive_rate,model
age,67,10,0.625,0.5,0.5555555555555556,0.8280701754385965,0.11940298507462686,A_baseline
disability,119,63,0.8043478260869565,0.5873015873015873,0.6788990825688074,0.8191609977324262,0.3865546218487395,A_baseline
gender,2311,692,0.666015625,0.49277456647398843,0.5664451827242525,0.8168252185927943,0.22154911293812202,A_baseline
none,389,92,0.6896551724137931,0.43478260869565216,0.5333333333333333,0.8293807641633728,0.14910025706940874,A_baseline
origin,942,204,0.6476190476190476,0.3333333333333333,0.4401294498381877,0.8245058185875977,0.11146496815286625,A_baseline
race,2065,517,0.7459677419354839,0.3578336557059961,0.48366013071895425,0.8425059601457425,0.12009685230024213,A_baseline
religion,1012,212,0.66,0.3113207547169811,0.4230769230769231,0.8391804245283019,0.09881422924901186,A_baseline
sexuality,1000,271,0.7589743589743589,0.5461254612546126,0.6351931330472103,0.9020849467753936,0.195,A_baseline
age,67,10,0.3181818181818182,0.7,0.4375,0.8087719298245615,0.3283582089552239,B_smote
disability,119,63,0.7466666666666667,0.8888888888888888,0.8115942028985508,0.8098072562358276,0.6302521008403361,B_smote
gender,2311,692,0.5225872689938398,0.7355491329479769,0.6110444177671068,0.799221759667532,0.4214625703158806,B_smote
none,389,92,0.48854961832061067,0.6956521739130435,0.5739910313901345,0.8014565949348558,0.33676092544987146,B_smote
origin,942,204,0.4468864468864469,0.5980392156862745,0.5115303983228512,0.7843270099367661,0.2898089171974522,B_smote
race,2065,517,0.5740740740740741,0.5996131528046421,0.586565752128666,0.8191027044317494,0.26150121065375304,B_smote
religion,1012,212,0.4796747967479675,0.5566037735849056,0.5152838427947598,0.7869929245283019,0.24308300395256918,B_smote
sexuality,1000,271,0.6386292834890965,0.7564575645756457,0.6925675675675675,0.8869097332948638,0.321,B_smote
age,67,10,0.5555555555555556,0.5,0.5263157894736842,0.7149122807017545,0.13432835820895522,C_inproc
disability,119,63,0.8571428571428571,0.47619047619047616,0.6122448979591837,0.693452380952381,0.29411764705882354,C_inproc
gender,2311,692,0.658203125,0.4869942196531792,0.5598006644518272,0.6894514025999066,0.22154911293812202,C_inproc
none,389,92,0.6349206349206349,0.43478260869565216,0.5161290322580645,0.6786707656272873,0.16195372750642673,C_inproc
origin,942,204,0.6290322580645161,0.38235294117647056,0.47560975609756095,0.6600111589351187,0.1316348195329087,C_inproc
race,2065,517,0.7323420074349443,0.38104448742746616,0.5012722646310432,0.6672664297602448,0.13026634382566585,C_inproc
religion,1012,212,0.6206896551724138,0.33962264150943394,0.43902439024390244,0.642311320754717,0.11462450592885376,C_inproc
sexuality,1000,271,0.7657142857142857,0.4944649446494465,0.600896860986547,0.7191117590188247,0.175,C_inproc
age,67,10,0.30434782608695654,0.7,0.42424242424242425,0.7096491228070175,0.34328358208955223,D_postproc
disability,119,63,0.7540983606557377,0.7301587301587301,0.7419354838709677,0.7311507936507937,0.5126050420168067,D_postproc
gender,2311,692,0.4969574036511156,0.708092485549133,0.5840286054827175,0.7008652668635104,0.4266551276503678,D_postproc
none,389,92,0.41818181818181815,0.75,0.5369649805447471,0.7133838383838383,0.4241645244215938,D_postproc
origin,942,204,0.37714285714285717,0.6470588235294118,0.47653429602888087,0.6758329347999362,0.37154989384288745,D_postproc
race,2065,517,0.4630606860158311,0.6789168278529981,0.5505882352941176,0.7079984656060857,0.3670702179176755,D_postproc
religion,1012,212,0.37960339943342775,0.6320754716981132,0.4743362831858407,0.6791627358490566,0.34881422924901184,D_postproc
sexuality,1000,271,0.5238095238095238,0.7306273062730627,0.6101694915254238,0.7418568630130745,0.378,D_postproc
